,"Net Migration"
"1961",8.9
"1962",6.7
"1963",4.68
"1964",3.91
"1965",2.31
"1966",0.72
"1967",-1.51
"1968",-3.72
"1969",-5.13
"1970",-8.97
"1971",-8.97
"1972",-8.58
"1973",-7.49
"1974",-7.35
"1975",-5.92
"1976",-3.31
"1977",-1.37
"1978",1.05
"1979",2.14
"1980",7.22
"1981",5.91
"1982",5.59
"1983",5.26
"1984",5.09
"1985",5.14
"1986",4.54
"1987",4.07
"1988",4.47
"1989",3.76
"1990",3.41
"1991",4.46
"1992",4.59
"1993",4.73
"1994",4.47
"1995",4.61
"1996",4.77
"1997",4.15
"1998",5.05
"1999",4.52
"2000",4.44
"2001",5.46
"2002",6.22
"2003",7.65
"2004",7.77
"2005",8.49
"2006",8.89
"2007",8.93
"2008",9.24
"2009",9.35
"2010",9.45
"2011",7.85
"2012",6.2
"2013",4.93
"2014",3.84
"2015",3.06
"2016",2.15
"2017",1.38
"2018",0.9
"2019",0.11
"2020",-0.64
"2021",-1.2
"2022",-50.06
"2023",0